Algoritmo,Métrica,Média,Desvio
ErroRecons_acurácia,"[0.91031511 0.82998923 0.79854565 0.78191489 0.88829787 0.80661235
 0.88815568 0.86297219 0.91286782 0.86458824]",0.8544259035569828,0.04501568343333686
ErroRecons_recall,"[0.91909385 0.9556389  0.98761731 0.98203438 0.99456943 0.95574413
 0.97823236 0.96834868 0.95473411 0.95676304]",0.9652776196827547,0.02077381645018394
ErroRecons_precision,"[0.90944025 0.77201964 0.72341035 0.71022621 0.82629713 0.74294703
 0.83305416 0.80650389 0.88622682 0.81560128]",0.802572675625022,0.0627527792549623
ErroRecons_f1,"[0.91424157 0.85407155 0.83511518 0.8243016  0.90265798 0.8360169
 0.8998251  0.88004716 0.91920579 0.88056067]",0.8746043495803487,0.033239947036956874
ErroRecons_matrix,"[[[6420.  707.]
  [ 625. 7100.]]

 [[4938. 2182.]
  [ 343. 7389.]]

 [[4283. 2897.]
  [  95. 7577.]]

 [[4015. 3100.]
  [ 139. 7598.]]

 [[5501. 1617.]
  [  42. 7692.]]

 [[4658. 2533.]
  [ 339. 7321.]]

 [[5730. 1495.]
  [ 166. 7460.]]

 [[5351. 1791.]
  [ 244. 7465.]]

 [[6196.  945.]
  [ 349. 7361.]]

 [[5427. 1676.]
  [ 335. 7413.]]]","[[5251.9 1894.3]
 [ 267.7 7437.6]]","[[742.08037974 745.34167333]
 [160.55843173 157.33289548]]"
KNN_acurácia,"[0.97919472 0.98404255 0.97912739 0.98134931 0.980676   0.97912598
 0.97872197 0.98417615 0.97656723 0.97966467]",0.9802645990843637,0.0022597227565053883
KNN_recall,"[0.97682848 0.98435075 0.97705944 0.98074189 0.98163951 0.97898172
 0.98255966 0.98508237 0.97859922 0.9801239 ]",0.9805966952994375,0.0026964649947879265
KNN_precision,"[0.9830641  0.98498771 0.98243775 0.98341109 0.98125889 0.98051778
 0.97615946 0.98444387 0.97631988 0.98088349]",0.9813484003959501,0.002904078374304816
KNN_f1,"[0.97993637 0.98466912 0.97974121 0.98207468 0.98144916 0.97974915
 0.9793491  0.98476302 0.97745822 0.98050355]",0.9809693586247359,0.002208317714805286
KNN_matrix,"[[[6997.  130.]
  [ 179. 7546.]]

 [[7004.  116.]
  [ 121. 7611.]]

 [[7046.  134.]
  [ 176. 7496.]]

 [[6987.  128.]
  [ 149. 7588.]]

 [[6973.  145.]
  [ 142. 7592.]]

 [[7042.  149.]
  [ 161. 7499.]]

 [[7042.  183.]
  [ 133. 7493.]]

 [[7022.  120.]
  [ 115. 7594.]]

 [[6958.  183.]
  [ 165. 7545.]]

 [[6955.  148.]
  [ 154. 7594.]]]","[[7002.6  143.6]
 [ 149.5 7555.8]]","[[32.82133452 22.34815429]
 [20.72800039 43.89943052]]"
SVM_acurácia,"[0.95791813 0.96141934 0.95670617 0.95899542 0.95751414 0.95825197
 0.95710727 0.9581173  0.95279779 0.96027204]",0.9579099552003806,0.002182149415568962
SVM_recall,"[0.97398058 0.98021211 0.97471324 0.9786739  0.97388156 0.97062663
 0.97324941 0.97976391 0.97769131 0.97470315]",0.9757495810833985,0.0029938986531610453
SVM_precision,"[0.94665325 0.94749344 0.94335814 0.94461078 0.9461123  0.949553
 0.94487588 0.94188802 0.9344242  0.9504153 ]",0.9449384294850202,0.004296506917397142
SVM_f1,"[0.9601225  0.96357511 0.95877941 0.9613407  0.95979611 0.95997418
 0.95885279 0.9604527  0.95556823 0.96240602]",0.9600867736784311,0.0020736718338015517
SVM_matrix,"[[[6703.  424.]
  [ 201. 7524.]]

 [[6700.  420.]
  [ 153. 7579.]]

 [[6731.  449.]
  [ 194. 7478.]]

 [[6671.  444.]
  [ 165. 7572.]]

 [[6689.  429.]
  [ 202. 7532.]]

 [[6796.  395.]
  [ 225. 7435.]]

 [[6792.  433.]
  [ 204. 7422.]]

 [[6676.  466.]
  [ 156. 7553.]]

 [[6612.  529.]
  [ 172. 7538.]]

 [[6709.  394.]
  [ 196. 7552.]]]","[[6707.9  438.3]
 [ 186.8 7518.5]]","[[52.33440551 36.92167385]
 [22.60442435 52.29961759]]"
KMeans_acurácia,"[0.24387288 0.84931322 0.23377323 0.13708591 0.75727175 0.13783584
 0.80991179 0.76068952 0.76701906 0.82331156]",0.5520084754091015,0.3000568046022361
KMeans_recall,"[0.00595469 0.97620279 0.0044317  0.04704666 0.9844841  0.01801567
 0.97456071 0.98767674 0.98119326 0.72457408]",0.5704140400702465,0.45651657652455396
KMeans_precision,"[0.01278843 0.78608623 0.00900424 0.06268297 0.68600775 0.02546125
 0.73869397 0.68761853 0.6953125  0.91972477]",0.4623380645026954,0.36105907198022813
KMeans_f1,"[0.00812577 0.87088958 0.0059399  0.05375074 0.80858068 0.02110092
 0.84039125 0.81077628 0.81387843 0.81056887]",0.5044002417927784,0.3942748603626973
KMeans_matrix,"[[[3576. 3551.]
  [7679.   46.]]

 [[5066. 2054.]
  [ 184. 7548.]]

 [[3438. 3742.]
  [7638.   34.]]

 [[1672. 5443.]
  [7373.  364.]]

 [[3633. 3485.]
  [ 120. 7614.]]

 [[1909. 5282.]
  [7522.  138.]]

 [[4596. 2629.]
  [ 194. 7432.]]

 [[3683. 3459.]
  [  95. 7614.]]

 [[3826. 3315.]
  [ 145. 7565.]]

 [[6613.  490.]
  [2134. 5614.]]]","[[3801.2 3345. ]
 [3308.4 4396.9]]","[[1359.30370411 1368.11826974]
 [3513.72296005 3517.48001984]]"
