Algoritmo,Métrica,Média,Desvio
ErroRecons_acurácia,"[0.86210611 0.88035281 0.79302451 0.86796391 0.88971182 0.82014679
 0.86869571 0.78728705 0.82694768 0.78816241]",0.8384398817643897,0.03795573709100617
ErroRecons_recall,"[0.96012987 0.95862607 0.98898964 0.95510151 0.95566123 0.97976879
 0.95907565 0.98619792 0.98050532 0.99293841]",0.9716994401031334,0.014490520615020189
ErroRecons_precision,"[0.80939347 0.83471168 0.71865587 0.81954216 0.85187307 0.74766917
 0.81979695 0.7127129  0.7597138  0.71062237]",0.7784691449698927,0.05167954143109752
ErroRecons_f1,"[0.87834145 0.89238782 0.83242477 0.88214436 0.9007874  0.84812646
 0.88398382 0.82744305 0.85610302 0.82838752]",0.8630129671188032,0.02645689394961304
ErroRecons_matrix,"[[[5411. 1741.]
  [ 307. 7393.]]

 [[5707. 1459.]
  [ 318. 7368.]]

 [[4143. 2989.]
  [  85. 7635.]]

 [[5552. 1616.]
  [ 345. 7339.]]

 [[5778. 1293.]
  [ 345. 7436.]]

 [[4722. 2517.]
  [ 154. 7458.]]

 [[5472. 1633.]
  [ 317. 7429.]]

 [[4118. 3053.]
  [ 106. 7574.]]

 [[4636. 2418.]
  [ 152. 7645.]]

 [[4112. 3092.]
  [  54. 7593.]]]","[[4965.1 2181.1]
 [ 218.3 7487. ]]","[[655.7483435  673.43825998]
 [112.05360324 108.34205093]]"
KNN_acurácia,"[0.89893617 0.90048478 0.90715055 0.92458928 0.91886615 0.9050569
 0.89933338 0.90613427 0.89421588 0.91764864]",0.9072415997109123,0.0094722235838702
KNN_recall,"[0.92116883 0.93533698 0.92163212 0.94364914 0.93972497 0.92708881
 0.92112058 0.92890625 0.9265102  0.93853799]",0.9303675864490228,0.007934787725286635
KNN_precision,"[0.88806811 0.87992656 0.90188871 0.91345427 0.90854871 0.8919363
 0.88976182 0.89376096 0.87861834 0.90504414]",0.89510079097836,0.011199747334346984
KNN_f1,"[0.90431568 0.90678607 0.91165353 0.92830623 0.9238739  0.90917289
 0.90516968 0.91099476 0.90192896 0.92148681]",0.9123688524903827,0.00859626610822773
KNN_matrix,"[[[6258.  894.]
  [ 607. 7093.]]

 [[6185.  981.]
  [ 497. 7189.]]

 [[6358.  774.]
  [ 605. 7115.]]

 [[6481.  687.]
  [ 433. 7251.]]

 [[6335.  736.]
  [ 469. 7312.]]

 [[6384.  855.]
  [ 555. 7057.]]

 [[6221.  884.]
  [ 611. 7135.]]

 [[6323.  848.]
  [ 546. 7134.]]

 [[6056.  998.]
  [ 573. 7224.]]

 [[6451.  753.]
  [ 470. 7177.]]]","[[6305.2  841. ]
 [ 536.6 7168.7]]","[[121.75040041  98.04386773]
 [ 61.82911935  73.67367237]]"
SVM_acurácia,"[0.8633854  0.88136278 0.87025316 0.91374899 0.9020334  0.87765134
 0.87765134 0.88721298 0.88472157 0.90761565]",0.8865636604691076,0.015538751922075869
SVM_recall,"[0.96714286 0.95277127 0.92668394 0.92295679 0.88844622 0.85483447
 0.92783372 0.94765625 0.95780428 0.94206879]",0.9288198587246198,0.032490832137152606
SVM_precision,"[0.80743793 0.83960101 0.84016442 0.91145097 0.92173333 0.90137138
 0.85103612 0.85112852 0.84374647 0.88577401]",0.8653444151806712,0.035417569107891275
SVM_f1,"[0.880104   0.89261336 0.88130582 0.9171678  0.90478372 0.87748635
 0.88777716 0.89680242 0.89716482 0.9130545 ]",0.8948259942583316,0.013018235840845492
SVM_matrix,"[[[5376. 1776.]
  [ 253. 7447.]]

 [[5767. 1399.]
  [ 363. 7323.]]

 [[5771. 1361.]
  [ 566. 7154.]]

 [[6479.  689.]
  [ 592. 7092.]]

 [[6484.  587.]
  [ 868. 6913.]]

 [[6527.  712.]
  [1105. 6507.]]

 [[5847. 1258.]
  [ 559. 7187.]]

 [[5898. 1273.]
  [ 402. 7278.]]

 [[5671. 1383.]
  [ 329. 7468.]]

 [[6275.  929.]
  [ 443. 7204.]]]","[[6009.5 1136.7]
 [ 548.  7157.3]]","[[381.35396943 367.13568337]
 [248.31069248 266.90749334]]"
KMeans_acurácia,"[0.86944519 0.12449502 0.23094533 0.86129814 0.88964449 0.20638341
 0.19372433 0.23540502 0.21385765 0.2122416 ]",0.40374401839491425,0.3089173883240245
KMeans_recall,"[0.9874026  0.00702576 0.00440415 0.95640292 0.95938825 0.00880189
 0.00619675 0.00507813 0.007054   0.00601543]",0.2947769861662769,0.4406197786021864
KMeans_precision,"[0.80497618 0.00995392 0.00901857 0.80989641 0.8494538  0.01555246
 0.01110083 0.01039169 0.01379137 0.01110039]",0.254523561049109,0.37129975705830437
KMeans_f1,"[0.8869058  0.00823736 0.00591819 0.87707364 0.90108033 0.01124161
 0.0079536  0.00682236 0.0093339  0.00780256]",0.2722369349677115,0.40338113511323404
KMeans_matrix,"[[[5310. 1842.]
  [  97. 7603.]]

 [[1795. 5371.]
  [7632.   54.]]

 [[3396. 3736.]
  [7686.   34.]]

 [[5443. 1725.]
  [ 335. 7349.]]

 [[5748. 1323.]
  [ 316. 7465.]]

 [[2998. 4241.]
  [7545.   67.]]

 [[2829. 4276.]
  [7698.   48.]]

 [[3457. 3714.]
  [7641.   39.]]

 [[3121. 3933.]
  [7742.   55.]]

 [[3106. 4098.]
  [7601.   46.]]]","[[3720.3 3425.9]
 [5429.3 2276. ]]","[[1246.60916489 1260.25762842]
 [3391.98172312 3402.284556  ]]"
