Algoritmo,Métrica,Média,Desvio
ErroRecons_acurácia,"[0.86520334 0.38169943 0.88769189 0.85288177 0.86998384 0.85051512
 0.88593361 0.87462124 0.75375396 0.86674298]",0.8089027172562473,0.14694092528948247
ErroRecons_recall,"[0.93579665 0.34066924 0.97578534 0.94033907 0.96517543 0.9888975
 0.94448748 0.97026503 0.8269281  0.98010336]",0.886844719035784,0.18724190328605922
ErroRecons_precision,"[0.82528311 0.39466229 0.83407921 0.80823137 0.81641659 0.7821115
 0.85268065 0.82138558 0.73056935 0.80607799]",0.7671497641154917,0.12808407960674795
ErroRecons_f1,"[0.87707233 0.3656835  0.89938473 0.86929473 0.8845855  0.87343216
 0.89623913 0.88963964 0.77576798 0.88461314]",0.8215712832104402,0.15562379210834248
ErroRecons_matrix,"[[[5708. 1512.]
  [ 490. 7142.]]

 [[3022. 4060.]
  [5123. 2647.]]

 [[5729. 1483.]
  [ 185. 7455.]]

 [[5401. 1724.]
  [ 461. 7266.]]

 [[5521. 1664.]
  [ 267. 7400.]]

 [[4971. 2134.]
  [  86. 7660.]]

 [[5841. 1264.]
  [ 430. 7316.]]

 [[5484. 1632.]
  [ 230. 7505.]]

 [[4868. 2333.]
  [1324. 6326.]]

 [[5286. 1825.]
  [ 154. 7586.]]]","[[5183.1 1963.1]
 [ 875.  6830.3]]","[[ 779.98544217  759.01771389]
 [1454.95367624 1438.98318614]]"
KNN_acurácia,"[0.98060867 0.97973337 0.98182063 0.98168597 0.9826286  0.97623056
 0.97986668 0.97959733 0.97946266 0.98269477]",0.9804329238620826,0.0018322990900083436
KNN_recall,"[0.98021488 0.98211068 0.98062827 0.98356413 0.98369636 0.97869868
 0.98334624 0.97905624 0.97934641 0.98320413]",0.9813866029767547,0.00191076945323704
KNN_precision,"[0.98201628 0.97921211 0.98397688 0.98127824 0.98267101 0.97580126
 0.97816874 0.98172155 0.98075664 0.98358537]",0.9809188091148002,0.0024125061052743145
KNN_f1,"[0.98111475 0.98065926 0.98229972 0.98241986 0.98318342 0.97724782
 0.98075066 0.98038708 0.98005102 0.98339471]",0.9811508304428846,0.0017183204738659566
KNN_matrix,"[[[7083.  137.]
  [ 151. 7481.]]

 [[6920.  162.]
  [ 139. 7631.]]

 [[7090.  122.]
  [ 148. 7492.]]

 [[6980.  145.]
  [ 127. 7600.]]

 [[7052.  133.]
  [ 125. 7542.]]

 [[6917.  188.]
  [ 165. 7581.]]

 [[6935.  170.]
  [ 129. 7617.]]

 [[6975.  141.]
  [ 162. 7573.]]

 [[7054.  147.]
  [ 158. 7492.]]

 [[6984.  127.]
  [ 130. 7610.]]]","[[6999.   147.2]
 [ 143.4 7561.9]]","[[62.76463973 19.48229966]
 [14.55472432 53.64410499]]"
SVM_acurácia,"[0.95933208 0.95448424 0.96141934 0.96182332 0.96121734 0.96047404
 0.95400983 0.95077773 0.95434651 0.95831931]",0.9576203738716152,0.0037014634804285198
SVM_recall,"[0.97287736 0.98198198 0.97225131 0.97890514 0.97247946 0.97456752
 0.9767622  0.97117001 0.98392157 0.97144703]",0.9756363566696129,0.0043421417876421484
SVM_precision,"[0.94924572 0.93436199 0.95365259 0.94929719 0.95333078 0.95087543
 0.93766266 0.93665835 0.93132888 0.94972843]",0.9446142008063809,0.008121808764215142
SVM_f1,"[0.96091627 0.95758032 0.96286214 0.96387385 0.96280992 0.96257571
 0.95681315 0.95360203 0.95690313 0.96046497]",0.9598401481743537,0.0032413598588545258
SVM_matrix,"[[[6823.  397.]
  [ 207. 7425.]]

 [[6546.  536.]
  [ 140. 7630.]]

 [[6851.  361.]
  [ 212. 7428.]]

 [[6721.  404.]
  [ 163. 7564.]]

 [[6820.  365.]
  [ 211. 7456.]]

 [[6715.  390.]
  [ 197. 7549.]]

 [[6602.  503.]
  [ 180. 7566.]]

 [[6608.  508.]
  [ 223. 7512.]]

 [[6646.  555.]
  [ 123. 7527.]]

 [[6713.  398.]
  [ 221. 7519.]]]","[[6704.5  441.7]
 [ 187.7 7517.6]]","[[98.82433911 70.90846212]
 [33.28377983 62.15657648]]"
KMeans_acurácia,"[0.14260706 0.23390789 0.23417722 0.13937517 0.14166442 0.13716248
 0.15211097 0.38185981 0.2399165  0.23183624]",0.20346177542419164,0.07381878095206205
KMeans_recall,"[0.05031447 0.0023166  0.00628272 0.08256762 0.05699752 0.03756778
 0.04518461 0.03438914 0.01398693 0.00658915]",0.033619653611137126,0.02492860590282241
KMeans_precision,"[0.06541738 0.00493963 0.01253264 0.10077397 0.07338371 0.05150442
 0.06310855 0.13454729 0.02777778 0.01352785]",0.054751321546968545,0.03964513379610844
KMeans_f1,"[0.05688046 0.00315402 0.00836966 0.09076682 0.06416092 0.0434458
 0.05266326 0.05477759 0.01860546 0.00886186]",0.04016858575525169,0.02760744397890353
KMeans_matrix,"[[[1734. 5486.]
  [7248.  384.]]

 [[3456. 3626.]
  [7752.   18.]]

 [[3430. 3782.]
  [7592.   48.]]

 [[1432. 5693.]
  [7089.  638.]]

 [[1667. 5518.]
  [7230.  437.]]

 [[1746. 5359.]
  [7455.  291.]]

 [[1909. 5196.]
  [7396.  350.]]

 [[5405. 1711.]
  [7469.  266.]]

 [[3456. 3745.]
  [7543.  107.]]

 [[3392. 3719.]
  [7689.   51.]]]","[[2762.7 4383.5]
 [7446.3  259. ]]","[[1207.32821138 1214.75308191]
 [ 199.95702038  192.16503324]]"
